date ,stream,variable,value
2017-01-31,QPB,DIC,4.21
2017-02-07,QPB,DIC,2.22
2017-02-14,QPB,DIC,4.03
2017-02-21,QPB,DIC,4.16
2017-02-28,QPB,DIC,3.89
2017-03-07,QPB,DIC,0.37
2017-03-14,QPB,DIC,3.17
2017-03-21,QPB,DIC,3.6
2017-03-28,QPB,DIC,3.42
2017-04-04,QPB,DIC,4.06
2017-04-11,QPB,DIC,3.8
2017-04-18,QPB,DIC,NA
2017-04-25,QPB,DIC,2.08
2017-05-02,QPB,DIC,1.79
2017-05-09,QPB,DIC,5.19
2017-05-16,QPB,DIC,3.73
2017-05-23,QPB,DIC,4
2017-05-30,QPB,DIC,2.92
2017-06-06,QPB,DIC,2.98
2017-06-13,QPB,DIC,3.59
2017-06-20,QPB,DIC,1.75
2017-06-27,QPB,DIC,3.61
2017-07-03,QPB,DIC,3.72
2017-07-11,QPB,DIC,2.79
2017-07-18,QPB,DIC,2.74
2017-07-25,QPB,DIC,3.11
2017-08-01,QPB,DIC,2.72
2017-08-08,QPB,DIC,2.65
2017-08-15,QPB,DIC,1.74
2017-08-22,QPB,DIC,2.36
2017-08-29,QPB,DIC,2.62
2017-09-05,QPB,DIC,3.27
2017-09-12,QPB,DIC,2.28
2017-09-18,QPB,DIC,3.01
2017-09-26,QPB,DIC,4.06
2017-10-03,QPB,DIC,2.78
2017-10-10,QPB,DIC,2.42
2017-10-17,QPB,DIC,NA
2017-10-24,QPB,DIC,2.8
2017-10-31,QPB,DIC,3
2017-11-07,QPB,DIC,2.61
2017-11-14,QPB,DIC,2.82
2017-11-21,QPB,DIC,3.2
2017-11-28,QPB,DIC,3.32
2017-12-05,QPB,DIC,2.41
2017-12-12,QPB,DIC,3.24
2017-12-19,QPB,DIC,1.39
2017-12-26,QPB,DIC,NA
2018-01-02,QPB,DIC,2.58
2018-01-09,QPB,DIC,2.65
2018-01-16,QPB,DIC,1.1
2018-01-23,QPB,DIC,3.31
2018-01-30,QPB,DIC,0.28
2018-02-06,QPB,DIC,0.2
2018-02-13,QPB,DIC,0.2
2018-02-20,QPB,DIC,2.24
2018-02-27,QPB,DIC,2.69
2018-03-06,QPB,DIC,3.36
2018-03-13,QPB,DIC,0.28
2018-03-20,QPB,DIC,0.36
2018-03-27,QPB,DIC,3.4
2018-04-03,QPB,DIC,3.55
2018-04-10,QPB,DIC,4.78
2018-04-17,QPB,DIC,2.03
2018-04-24,QPB,DIC,0.28
2018-05-01,QPB,DIC,0.36
2018-05-08,QPB,DIC,0.24
2018-05-15,QPB,DIC,2.17
2018-05-22,QPB,DIC,2.49
2018-05-29,QPB,DIC,2.69
2018-06-05,QPB,DIC,4.11
2018-06-12,QPB,DIC,3.27
2018-06-19,QPB,DIC,5.01
2018-06-26,QPB,DIC,2.73
2018-07-03,QPB,DIC,4.36
2018-07-10,QPB,DIC,2.75
2018-07-17,QPB,DIC,2.94
2018-07-24,QPB,DIC,NA
2018-07-31,QPB,DIC,3.93
2018-08-07,QPB,DIC,0.3
2018-08-14,QPB,DIC,3.37
2018-08-21,QPB,DIC,2.95
2018-08-28,QPB,DIC,2.47
2018-09-04,QPB,DIC,NA
2018-09-11,QPB,DIC,4.52
2018-09-18,QPB,DIC,4.5
2018-09-25,QPB,DIC,NA
2018-10-02,QPB,DIC,2.51
2018-10-09,QPB,DIC,NA
2018-10-16,QPB,DIC,2.81
2018-10-23,QPB,DIC,2.87
2018-10-30,QPB,DIC,NA
2018-11-06,QPB,DIC,0.24
2018-11-13,QPB,DIC,2.21
2018-11-20,QPB,DIC,3.8
2018-11-27,QPB,DIC,3.91
2018-12-04,QPB,DIC,3.84
2018-12-11,QPB,DIC,3.54
2018-12-18,QPB,DIC,3.6
2018-12-25,QPB,DIC,4.55
